AngryDog,20,7,2010,Richardson,4,1,Burgers,American(New),1,7,3.857142857,0,0,2,4,1,2,4.5,0,0,0,1,1
AngryDog,20,7,2011,Richardson,4,1,Burgers,American(New),6,27,3.62962963,1,4,6,9,7,5,3,0,3,0,1,1
AngryDog,20,7,2012,Richardson,4,1,Burgers,American(New),6,45,4.155555556,0,3,6,17,19,5,4.2,0,0,1,2,2
AngryDog,20,7,2013,Richardson,4,1,Burgers,American(New),11,58,3.965517241,1,2,12,26,17,2,4,0,0,0,2,0
AngryDog,20,7,2014,Richardson,4,1,Burgers,American(New),14,66,4.257575758,2,2,4,27,31,8,4.375,0,1,0,2,5
AngryDog,20,7,2015,Richardson,4,1,Burgers,American(New),15,74,4.283783784,3,1,5,28,37,9,4,1,1,0,2,5
AngryDog,20,7,2016,Richardson,4,1,Burgers,American(New),17,83,3.975903614,2,5,18,26,32,4,4.25,0,0,0,3,1
AngryDog,20,7,2017,Richardson,4,1,Burgers,American(New),6,47,3.872340426,0,4,14,13,16,1,5,0,0,0,0,1
Antoine’sFoods,7,3,2011,Allen,4.5,1,Sandwiches,American(New),0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
Antoine’sFoods,7,3,2012,Allen,4.5,1,Sandwiches,American(New),0,1,5,0,0,0,0,1,0,0,0,0,0,0,0
Antoine’sFoods,7,3,2013,Allen,4.5,1,Sandwiches,American(New),0,3,4.666666667,0,0,0,1,2,0,0,0,0,0,0,0
Antoine’sFoods,7,3,2014,Allen,4.5,1,Sandwiches,American(New),2,5,4.2,0,0,2,0,3,2,5,0,0,0,0,2
Antoine’sFoods,7,3,2015,Allen,4.5,1,Sandwiches,American(New),1,5,4.4,0,0,0,3,2,2,5,0,0,0,0,2
Antoine’sFoods,7,3,2016,Allen,4.5,1,Sandwiches,American(New),1,3,4.666666667,0,0,0,1,2,2,3,1,0,0,0,1
Antoine’sFoods,7,3,2017,Allen,4.5,1,Sandwiches,American(New),0,4,3.75,0,1,0,2,1,1,5,0,0,0,0,1
AnvilPub,15,4,2013,Arlington,4,2,,American(New),1,6,4.833333333,0,0,0,1,5,1,5,0,0,0,0,1
AnvilPub,15,4,2014,Arlington,4,2,,American(New),14,56,4.107142857,0,3,10,21,22,10,4.1,1,0,1,3,5
AnvilPub,15,4,2015,Arlington,4,2,,American(New),9,32,4.09375,0,1,6,14,11,5,4,0,1,0,2,2
AnvilPub,15,4,2016,Arlington,4,2,,American(New),13,39,3.769230769,4,3,2,19,11,3,4.666666667,0,0,0,1,2
AnvilPub,15,4,2017,Arlington,4,2,,American(New),6,25,3.6,2,5,2,8,8,3,3.666666667,1,0,0,0,2
Asador,8,3,2014,Allen,4,2,,American(Traditional),3,4,3.75,0,0,1,3,0,1,3,0,0,1,0,0
Asador,8,3,2015,Allen,4,2,,American(Traditional),2,5,4,0,0,1,3,1,0,0,0,0,0,0,0
Asador,8,3,2016,Allen,4,2,,American(Traditional),2,13,4.384615385,0,0,1,6,6,1,1,1,0,0,0,0
Asador,8,3,2017,Allen,4,2,,American(Traditional),1,5,4.6,0,0,0,2,3,1,1,1,0,0,0,0
AscensionCoffee,11,2,2015,Houston,4,2,Coffee&Tea,American(Traditional),4,7,4.571428571,0,0,0,3,4,1,5,0,0,0,0,1
AscensionCoffee,11,2,2016,Houston,4,2,Coffee&Tea,American(Traditional),35,130,3.8,10,18,10,42,50,14,3.928571429,1,2,2,1,8
AscensionCoffee,11,2,2017,Houston,4,2,Coffee&Tea,American(Traditional),15,65,4.138461538,2,5,7,19,32,1,5,0,0,0,0,1
AsianMint,1,8,2009,Arlington,4,2,,Thai,0,3,3.666666667,0,0,2,0,1,2,3.5,0,1,0,0,1
